,SUBURB,Mean House Price,Median House Price,Variance House Price,Standard Deviation House Price,SEM House Price,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
182,KARRINYUP,959109.9138,919000,76649116618,276855.7686,25705.41279,1.965517241,3.560344828,1.948275862,619.5258621,1989,11515.51724,2962.931034,2018,-31.8739029,115.7708104,WA,6018
183,KARRINYUP,959109.9138,919000,76649116618,276855.7686,25705.41279,1.965517241,3.560344828,1.948275862,619.5258621,1989,11515.51724,2962.931034,2018,-31.8739029,115.7708104,WA,6921
184,KELMSCOTT,371619.469,335000,25905112832,160950.6534,15140.96384,1.628318584,3.477876106,2.044247788,2058.380531,1985,24045.13274,1069.247788,2018,-32.1144179,116.0148177,WA,6111
185,KELMSCOTT,371619.469,335000,25905112832,160950.6534,15140.96384,1.628318584,3.477876106,2.044247788,2058.380531,1985,24045.13274,1069.247788,2018,-32.1144,116.015,WA,6991
186,KENSINGTON,929288.274,900000,49865524798,223305.8996,18480.92775,1.787671233,3.404109589,2.123287671,615.5068493,1958,4076.027397,2793.835616,2016,-31.9830523,115.8829593,WA,6151
187,KENWICK,397629.5133,385000,31146318828,176483.197,14409.7927,1.6,3.613333333,2.026666667,983.9266667,1990,14919.33333,1307.946667,2016,-32.0331924,115.9821613,WA,6107
188,KEWDALE,515815.2941,505000,20015059168,141474.5884,15345.07362,1.623529412,3.376470588,1.811764706,667.3294118,1991,7502.352941,2581.176471,2017,-31.9797348,115.9596253,WA,6105
189,KEYSBROOK,772777.7778,650000,4.52357E+11,672574.8616,224191.6205,1.666666667,3.333333333,2.111111111,105824.1111,1965,58011.11111,32400,2010,-32.4363721,116.0295671,WA,6126
190,KIARA,428285.7143,425000,7929167808,89045.87474,7344.379964,1.666666667,3.666666667,2.095238095,636.8095238,1993,10817.0068,2831.972789,2013,-31.8843886,115.9380878,WA,6054
191,KINGSLEY,583094.1176,575000,9998604132,99993.02041,10845.76585,1.811764706,3.870588235,1.917647059,696.0588235,1986,16852.94118,1528.211765,2019,-31.8115417,115.8043918,WA,6026
192,KINROSS,500355.1724,490000,4455138602,66746.82466,5543.022082,2.006896552,3.993103448,2,626.3862069,1996,28533.7931,1545.22069,2018,-31.7214518,115.7413155,WA,6028
193,KOONDOOLA,385320.1119,400000,3866777158,62183.41546,5200.038433,1.090909091,3.258741259,1.86013986,723.7482517,1979,12220.27972,6232.867133,2015,-31.8412583,115.8628244,WA,6064
194,KOONGAMIA,283795.3022,310000,8221704325,90673.61427,7690.835584,1.115107914,2.791366906,1.330935252,738.2877698,1969,18060.43165,4287.769784,2010,-31.9062572,116.040491,WA,6056
195,KWINANA BEACH,170000,170000,,,,1,3,2,92333,1970,33400,3300,1989,-32.2260862,115.7763846,WA,6167
196,KWINANA TOWN CENTRE,185598.3235,156488.5,3822306404,61824.80412,10602.86643,1.764705882,3,1.058823529,203.7941176,2015,32558.82353,2405.882353,2013,-32.2476388,115.8135235,WA,6167
197,LANDSDALE,551263.2848,549500,8859704966,94126.00579,7488.262954,2,4.018987342,1.892405063,563.8670886,2005,16000,7674.050633,2019,-31.8042706,115.86174,WA,6065
198,LANGFORD,409908.4507,415000,6425049857,80156.40871,6726.576394,1.5,3.507042254,1.809859155,646.9929577,1988,12501.40845,1468.140845,2016,-32.0397928,115.9484249,WA,6147
199,LATHLAIN,726986.1111,692500,49227577269,221872.8854,26147.9703,1.625,3.347222222,2.541666667,628.4027778,1978,4804.166667,591.8611111,2016,-31.967897,115.9081062,WA,6100
200,LEDA,337275.15,340000,3548426728,59568.67237,6659.980038,1.8,3.7625,1.9,597.75,2001,35061.25,1087.925,2015,-32.271548,115.8018223,WA,6170
201,LEEDERVILLE,859113.6364,852500,85685807900,292721.3827,62408.40849,1.818181818,3,1.863636364,402,1978,2945.454545,995.7272727,2017,-31.9319556,115.84128,WA,6007
202,LEEDERVILLE,859113.6364,852500,85685807900,292721.3827,62408.40849,1.818181818,3,1.863636364,402,1978,2945.454545,995.7272727,2017,-31.932,115.841,WA,6900
203,LEEDERVILLE,859113.6364,852500,85685807900,292721.3827,62408.40849,1.818181818,3,1.863636364,402,1978,2945.454545,995.7272727,2017,-31.932,115.841,WA,6902
204,LEEDERVILLE,859113.6364,852500,85685807900,292721.3827,62408.40849,1.818181818,3,1.863636364,402,1978,2945.454545,995.7272727,2017,-31.932,115.841,WA,6903
205,LEEMING,711187.3786,720000,15501548761,124505.2158,12267.86344,2.019417476,4.029126214,2.165048544,721.9320388,1987,13618.4466,1897.747573,2018,-32.0796241,115.8656562,WA,6149
206,LESMURDIE,671163.8655,660000,33630877582,183387.234,16811.08018,1.81512605,3.983193277,2.672268908,1703.773109,1979,19175.63025,8589.915966,2017,-32.0131773,116.0381059,WA,6076
207,LOCKRIDGE,354943.0066,365000,6494835400,80590.54163,6558.365266,1.331125828,3.231788079,1.834437086,644.7880795,1982,11608.60927,2176.15894,2015,-31.8818885,115.9498271,WA,6054
